district,year,crop,season,area,AvgRain,AvgTemp
KAPURTHALA,2008,Rice,Kharif,114000,77.36166667,25.28041667
ROPAR(RUPNAGAR),2004,Urad,Kharif,300,74.66666667,22.15833333
GURDASPUR,2003,Sesamum,Kharif,1800,74.43583333,24.22375
ROPAR(RUPNAGAR),2000,Maize,Kharif,28000,69.12916667,21.98083333
MOGA,2009,Rapeseed &Mustard,Rabi,1000,33.07583333,26.79041667
NAWANSHAHR,1999,Wheat,Rabi,67000,32.2,27.14458333
PATIALA,2005,Moong,Kharif,200,48.6925,25.84166667
NAWANSHAHR,2008,Wheat,Rabi,76000,90.14333333,24.945
BATHINDA,2001,Rapeseed &Mustard,Rabi,700,30.40833333,27.29583333
MOGA,2004,Wheat,Rabi,173000,34.83166667,27.175
FATEHGARH SAHIB,1999,Arhar (Tur),Kharif,400,33.88083333,27.225
LUDHIANA,2004,Moong,Kharif,2100,40.8975,26.84208333
PATIALA,2001,Wheat,Rabi,265000,45.4125,26.4175
JALANDHAR,2002,Sesamum,Kharif,600,37.0775,27.14
NAWANSHAHR,2002,Sugarcane,Whole year,12000,37.0775,27.14
MUKATSAR,2004,Sugarcane,Whole year,1000,27.58,27.69083333
PATIALA,2005,Barley,Rabi,1000,48.6925,25.84166667
FIROZPUR,2006,Wheat,Rabi,389000,43.10666667,26.76416667
